,delta_sim,tstats,raw_p_2tailed,raw_p_1tailed,p_fdr_bh
1011-ctx-lh-lateraloccipital,0.09094423269013403,6.212235736867174,8.912674532824905e-07,4.4563372664124525e-07,3.297689577145216e-05
2005-ctx-rh-cuneus,0.0970288291517071,5.864288689971763,2.3127566014038277e-06,1.1563783007019137e-06,4.278599712597081e-05
2011-ctx-rh-lateraloccipital,0.06546080628106735,5.465670877368827,6.958502561570906e-06,3.479251280785453e-06,8.318767510214824e-05
1029-ctx-lh-superiorparietal,0.05614924866722115,5.373196679611856,8.993262173205217e-06,4.496631086602609e-06,8.318767510214824e-05
1007-ctx-lh-fusiform,0.053265081331362936,4.874610398429753,3.594161651720119e-05,1.7970808258600595e-05,0.0002659679622272888
2025-ctx-rh-precuneus,0.0804743832772358,4.5619941249175895,8.553866103393707e-05,4.276933051696853e-05,0.00047461713339022333
1021-ctx-lh-pericalcarine,0.07405479757835136,4.5444519443486175,8.979243064139362e-05,4.489621532069681e-05,0.00047461713339022333
1008-ctx-lh-inferiorparietal,0.04962849445662384,4.308813415028629,0.0001719947361133335,8.599736805666675e-05,0.0006695207854446725
2029-ctx-rh-superiorparietal,0.1031703126185966,4.300293725522555,0.00017607036950325518,8.803518475162759e-05,0.0006695207854446725
1028-ctx-lh-superiorfrontal,0.03840377045002063,4.290342959367393,0.0001809515636336953,9.047578181684765e-05,0.0006695207854446725
2021-ctx-rh-pericalcarine,0.10905149729995522,4.116430266206123,0.00029137175323908776,0.00014568587661954388,0.0009468957925227588
2008-ctx-rh-inferiorparietal,0.05508672405330549,4.097162370659064,0.00030710133811548933,0.00015355066905774466,0.0009468957925227588
1025-ctx-lh-precuneus,0.060609325686484326,4.045834643259741,0.0003531961807939008,0.0001765980903969504,0.00100525066841341
1013-ctx-lh-lingual,0.08227632463503351,3.9657577062222713,0.0004390136643848735,0.00021950683219243677,0.0010572504141587893
1005-ctx-lh-cuneus,0.05830770096771145,3.932748766897793,0.0004800725512362309,0.00024003627561811544,0.0010572504141587893
1024-ctx-lh-precentral,0.07443308222782118,3.9324405544027563,0.00048047313984198584,0.00024023656992099292,0.0010572504141587893
1020-ctx-lh-parstriangularis,0.05632455975160688,3.928393467566842,0.00048576370380268703,0.00024288185190134352,0.0010572504141587893
1035-ctx-lh-insula,0.05326075766615947,3.8256223658429565,0.0006409748097058564,0.0003204874048529282,0.0012019392701809915
1027-ctx-lh-rostralmiddlefrontal,0.05504111491918947,3.824441445405498,0.0006430141030621016,0.0003215070515310508,0.0012019392701809915
2013-ctx-rh-lingual,0.09215723967660512,3.8205970496959436,0.0006496969028005361,0.000324848451400268,0.0012019392701809915
1018-ctx-lh-parsopercularis,0.05734420281634201,3.4881197027120683,0.0015727761222970058,0.0007863880611485029,0.002558737411716242
1019-ctx-lh-parsorbitalis,0.052364335407967484,3.4768404009858536,0.0016200315901130256,0.0008100157950565128,0.002558737411716242
1003-ctx-lh-caudalmiddlefrontal,0.04619343382600442,3.470815004640293,0.0016458355206332464,0.0008229177603166232,0.002558737411716242
2015-ctx-rh-middletemporal,0.040847874618612036,3.4676102384354404,0.0016597215643564813,0.0008298607821782408,0.002558737411716242
1009-ctx-lh-inferiortemporal,0.0458624148870009,3.3698326296415857,0.0021422361244274727,0.0010711180622137364,0.00317050946415266
51-Right-Putamen,0.07443286256921358,3.2463960864359485,0.0029466987435457933,0.0014733493717728966,0.004193378981199783
2007-ctx-rh-fusiform,0.038081468755473455,3.19113941942778,0.0033943714530731504,0.0016971857265365752,0.004651546065322466
1031-ctx-lh-supramarginal,0.0443673644883132,2.96316358869067,0.006027309960182275,0.0030136549800911373,0.007964659590240862
2003-ctx-rh-caudalmiddlefrontal,0.03167235517217221,2.660790181135422,0.012571657510038942,0.006285828755019471,0.016039700961084168
1022-ctx-lh-postcentral,0.047725534087715515,2.6329574303855527,0.013429033962021393,0.0067145169810106965,0.016562475219826383
2012-ctx-rh-lateralorbitofrontal,0.048914117536903536,2.484920724178595,0.01897418322819493,0.009487091614097463,0.022646605788490724
2030-ctx-rh-superiortemporal,0.04181114573140143,2.451660962460806,0.020480640413892245,0.010240320206946122,0.02313528865617981
2028-ctx-rh-superiorfrontal,0.02631616473505254,2.448398424716776,0.02063417636902524,0.01031708818451262,0.02313528865617981
1015-ctx-lh-middletemporal,0.04742074464362216,2.42375846350087,0.021828260188201682,0.010914130094100841,0.023754283145984174
1023-ctx-lh-posteriorcingulate,0.028189557166866937,2.3821552218108426,0.023988754131367,0.011994377065683504,0.024991825028047827
1010-ctx-lh-isthmuscingulate,0.038817463892075584,2.3457743104054685,0.02603606244993352,0.01301803122496676,0.024991825028047827
