,delta_sim,tstats,raw_p_2tailed,raw_p_1tailed,p_fdr_bh
1013-ctx-lh-lingual,1.7604584587043384,30.341185024348746,1.5988441281624574e-23,7.994220640812289e-24,4.1186268713767804e-22
1021-ctx-lh-pericalcarine,1.8692806796527892,29.9862398322648,2.2262847953388e-23,1.1131423976694e-23,4.1186268713767804e-22
1005-ctx-lh-cuneus,1.6806821674820065,27.981980014258614,1.5511521857681381e-22,7.755760928840691e-23,1.913087695780703e-21
2013-ctx-rh-lingual,1.7574193720328573,23.936422846986428,1.1971089978117516e-20,5.985544989058758e-21,1.1073258229758702e-19
2005-ctx-rh-cuneus,1.6336588084288708,22.01618356058542,1.1970503036383392e-19,5.985251518191696e-20,8.85817224692371e-19
2021-ctx-rh-pericalcarine,1.8937759391626752,21.641202512058268,1.9162686150697432e-19,9.581343075348716e-20,1.181698979293008e-18
2011-ctx-rh-lateraloccipital,1.5614656654186658,20.018823731412464,1.600489455567825e-18,8.002447277839125e-19,7.553561691141345e-18
1011-ctx-lh-lateraloccipital,1.5916670751527855,20.00388544209788,1.6332025278143446e-18,8.166012639071723e-19,7.553561691141345e-18
1029-ctx-lh-superiorparietal,0.9247308731875652,10.413312395461613,2.612467714745132e-11,1.306233857372566e-11,1.0740145049507765e-10
2007-ctx-rh-fusiform,0.9069314393301904,9.643604304214255,1.493707634462529e-10,7.468538172312645e-11,5.526718247511358e-10
1007-ctx-lh-fusiform,0.8654007746411643,8.986104404200134,7.040889178786103e-10,3.5204445893930513e-10,2.3682990874098705e-09
2029-ctx-rh-superiorparietal,0.8299572453542472,8.647679259178389,1.5990304912182771e-09,7.995152456091383e-10,4.9303440145896865e-09
2008-ctx-rh-inferiorparietal,0.4788493400455272,5.727948574099503,3.3678750574981443e-06,1.6839375287490722e-06,9.585490548263948e-06
1008-ctx-lh-inferiorparietal,0.4338552624279657,5.0197258935421285,2.401283541943155e-05,1.2006417709715775e-05,6.346249360849766e-05
1012-ctx-lh-lateralorbitofrontal,0.4147860923702626,4.653574654623963,6.637671954673439e-05,3.3188359773367186e-05,0.00016372924154861148
1025-ctx-lh-precuneus,0.3862219697997794,4.540031454374317,9.089706499559012e-05,4.544853249779506e-05,0.00021019946280230207
2016-ctx-rh-parahippocampal,0.25290104565849475,4.3499373380877415,0.00015359671469904185,7.679835734952092e-05,0.00033429873199203216
2025-ctx-rh-precuneus,0.3960758534377575,4.144503343461259,0.00026986416357700744,0.00013493208178850372,0.0005547207806860707
2030-ctx-rh-superiortemporal,0.1849284339292044,3.6779995820310663,0.0009516953385254633,0.00047584766926273166,0.00181050235499659
2009-ctx-rh-inferiortemporal,0.2430280139602296,3.6675132890953432,0.0009786499216197784,0.0004893249608098892,0.00181050235499659
1010-ctx-lh-isthmuscingulate,0.23340882106372526,3.6215791764992273,0.0011057377742174684,0.0005528688871087342,0.00194820464981173
